,title,year,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings,metascore,imdb_rating,imdb_votes,imdb_id,type,total_seasons,response,dvd,box_office,production,website
0,Big Brother Canada,2013,N/A,27 Feb 2013,60 min,Reality-TV,N/A,N/A,Arisa Cox,"The format for Big Brother in Canada remains largely unchanged from the U.S. edition, making them the only two version of the series thus far to follow this format. HouseGuests are ...",English,Canada,1 win & 15 nominations.,https://m.media-amazon.com/images/M/MV5BZjY5MTUzYTUtNjA2MS00ZDUzLTgyMzUtNmQ2MTE2ZWJlMTNlXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '5.5/10'}]",N/A,5.5,811,tt2776888,series,6,True,,,,
1,My Internship in Canada,2015,N/A,26 May 2016,108 min,Comedy,Philippe Falardeau,Philippe Falardeau,"Irdens Exantus, Caroline Trudel, Patrick Huard, Clémence Dufresne-Deslières",An idealistic young Haitian travels to rural Quebec to intern for an independent Member of Parliament when a national debate erupts that finds the MP holding the tie-breaking vote.,"French, English, Algonquin, Latin, Spanish",Canada,3 wins & 12 nominations.,https://m.media-amazon.com/images/M/MV5BNzcwZTIyMWMtYmJjNy00ZmViLThlNGMtMTVjOTQyOWU4ZDA1XkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.9/10'}]",N/A,6.9,741,tt4116116,movie,,True,N/A,N/A,N/A,N/A
2,Storage Wars Canada,2013,N/A,29 Aug 2013,30 min,Reality-TV,N/A,N/A,"Ursula Stolf, Paul Kenny, Bogart Kenny, Roy Dirnbeck",Canadians go to storages and but them for the right price,English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BNThlMTc2MWItZjM5OS00ZWM3LTg1NzItYTk4NDcxYjM3MTBhXkEyXkFqcGdeQXVyMjU1NTIzNTA@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '3.1/10'}]",N/A,3.1,426,tt3155428,series,2,True,,,,
3,The Amazing Race Canada,2013,N/A,15 Jul 2013,N/A,Reality-TV,N/A,"Elise Doganieri, Bertram van Munster",Jon Montgomery,"The Amazing Race Canada is a reality television competition between ten teams of two in a race around the world for $250,000 to 'amazing' locations.",English,Canada,25 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BMDYzZmE5OTEtNzkxNi00NjA2LTlmYjctYmE4MTdkNmY1ZmVkXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.2/10'}]",N/A,7.2,382,tt3069720,series,7,True,,,,
4,MasterChef Canada,2014,N/A,01 Jan 2014,60 min,Reality-TV,N/A,N/A,"Claudio Aprile, Michael Bonacini, Alvin Leung, Charlie Ryan",Amateur chefs compete in this Canadian version of the reality-cooking series.,English,Canada,12 nominations.,https://m.media-amazon.com/images/M/MV5BODA1MjEyMzY2MV5BMl5BanBnXkFtZTgwOTQ5NTA5NTE@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.3/10'}]",N/A,6.3,375,tt3219166,series,4,True,,,,
5,Canada Russia '72,2006,N/A,N/A,2 min,"Drama, History, Sport",N/A,N/A,"Mark A. Owen, Sonia Laplante, David Berni, Gabriel Hogan",CANADA RUSSIA '72 is shot in a fluid documentary style that effectively captures all the immediacy of the '72 hockey summit's intrigues.,"English, Russian, French",Canada,3 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMTI0OTUzNDkxM15BMl5BanBnXkFtZTcwMzMwNzkzMQ@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.6/10'}]",N/A,7.6,310,tt0484098,series,N/A,True,,,,
6,Cab to Canada,1998,TV-G,29 Nov 1998,120 min,Drama,Christopher Leitch,"Beth Polson (story), Dalene Young (teleplay)","Maureen O'Hara, Jason Beghe, Catherine Bell, Haley Joel Osment","Fact-based story about a Pasadena cab driver who picks up what he believes is a routine fare, an elderly woman on her way to a funeral. However, the wealthy woman is soon is insisting that ...",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BYWZmZDVlY2QtMzU4OC00YTNjLWI5MzMtYTY4MDFjMjFjODA1XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.3/10'}]",N/A,7.3,303,tt0161356,movie,,True,24 Jul 2007,N/A,Bonneville Worldwide Entertainment,N/A
7,Canada Vignettes: Log Driver's Waltz,1979,N/A,11 Jun 2011,3 min,"Animation, Short, Comedy",John Weldon,N/A,"Anna McGarrigle, Kate McGarrigle","A short illustrating a traditional Canadian folk song about a woman's admiration for the agility for her boyfriend, the log driver.",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BMTM1NDc4OTc3M15BMl5BanBnXkFtZTYwMDkwODY5._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '7.5/10'}]",N/A,7.5,290,tt0133932,movie,,True,N/A,N/A,N/A,N/A
8,Canada: A People's History,2000,N/A,22 Oct 2000,120 min,"Documentary, History",N/A,N/A,Maggie Huculak,A dramatized comprehensive survey of the history of Canada.,"English, French",Canada,3 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMTgzNTUzMjIwMl5BMl5BanBnXkFtZTcwMzQ1NzQyMQ@@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '8.7/10'}]",N/A,8.7,286,tt0264228,series,2,True,,,,
9,So You Think You Can Dance Canada,2008,N/A,11 Sep 2008,60 min,"Music, Reality-TV",N/A,N/A,"Jean-Marc Généreux, Tre Armstrong, Leah Miller, Luther Brown",N/A,English,Canada,3 nominations.,https://m.media-amazon.com/images/M/MV5BZWJmZmJjZjEtODk0My00NmZjLTk2NjktNTk4ZWQ5ZDQxZTdmXkEyXkFqcGdeQXVyMjMwODU0MjI@._V1_SX300.jpg,"[{'source': 'Internet Movie Database', 'value': '6.0/10'}]",N/A,6.0,268,tt1267314,series,3,True,,,,
