,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'engadget', 'name': 'Engadget'}",Christine Fisher,"Starbucks embraces fake meat, starting in Canada","Next week, when Starbucks rolls out its spring menu in stores across Canada, it will include one notable addition: a breakfast sandwich with Beyond Meat sausage. Starbucks joins a growing list of brands that have added Beyond Meat's plant-based offerings to t…",https://www.engadget.com/2020/02/26/starbucks-beyond-meat-sandwich-canada/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D5000%252C3128%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C1001%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-images%252F2020-02%252Fcf6f7ae0-58c6-11ea-aefe-04d1efc8098d%26client%3Da1acac3e1b3290917d92%26signature%3D0547d1c659821a99d00cb59c28fb67b2dea74c6d&client=amp-blogside-v2&signature=ae7586f0237dcb6746221eff11711e4f35d760f4,2020-02-26T19:35:00Z,The labgrown plantbased meat trend is a product of science and tech but its also driven by a growing awareness of the environmental impacts of meat production Earlier this year Starbucks said it was committed to a resourcepositive future which incl  chars
1,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Darrell Etherington,"Canada closes border to “all foreign nationals” except Americans, will block even citizens with symptoms",Canadian Prime Minister Justin Trudeau announced a number of additional measures being taken at a federal level in Canada to prevent further spread of coronavirus within the country. The most extreme is that Canada is closing its borders to non-citizens and a…,http://techcrunch.com/2020/03/16/canada-closes-border-to-all-foreign-nationals-except-americans-will-block-even-citizens-with-symptoms/,https://techcrunch.com/wp-content/uploads/2020/03/Screen-Shot-2020-03-16-at-2.00.23-PM.png?w=716,2020-03-16T18:10:13Z,Canadian Prime Minister Justin Trudeau announced a number of additional measures being taken at a federal level in Canada to prevent further spread of coronavirus within the country The most extreme is that Canada is closing its borders to noncitizens and a  chars
2,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Plans for first US 'safe injection site' derailed again,The addiction management method used in Europe and Canada has met determined opposition in the US.,https://www.bbc.co.uk/news/world-us-canada-51669192,https://ichef.bbci.co.uk/news/1024/branded_news/0952/production/_111068320_gettyimages-1166209978.jpg,2020-02-28T02:09:51Z,Image copyrightGetty ImagesImage caption The latest plans to open a safe injection site in the US have been derailed againPlans to open the first safe drug injection site in the US have been scrapped after being met with opposition in PhiladelphiaThe  chars
3,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,"Coronavirus: US, Canada and Mexico restrict border traffic","As the US battles the coronavirus outbreak, ""non-essential"" traffic is suspended across its borders.",https://www.bbc.co.uk/news/world-us-canada-51980681,https://ichef.bbci.co.uk/news/1024/branded_news/BDAD/production/_111375584_060726149-1.jpg,2020-03-20T17:21:42Z,Image copyrightReutersImage caption Many checkpoints on the USCanada border are closingThe US has suspended all nonessential traffic across its borders with both Mexico and Canada as it battles to control the coronavirus outbreakThe curbs will go int  chars
4,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Brian Heater,"As social distancing measure, Starbucks temporarily shifts to ‘to go’ model in US and Canada","Beginning today, Starbucks is instituting a temporary move to a “to go” model for all of its locations in the U.S. and Canada. One of the more sweeping actions taken by a major food chain, the coffee giant is looking to adhere to advice about social distancin…",http://techcrunch.com/2020/03/15/as-social-distancing-measure-starbucks-temporarily-shifts-to-to-go-model-in-us-and-canada/,https://techcrunch.com/wp-content/uploads/2016/12/starbucks_logo_2016.jpg?w=600,2020-03-15T22:48:30Z,Beginning today Starbucks is instituting a temporary move to a to go model for all of its locations in the US and Canada One of the more sweeping actions taken by a major food chain the coffee giant is looking to adhere to advice about social distancing   chars
5,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Darrell Etherington,"U.S. and Canada border to close to all but “non-essential” and travel, says Trump","The U.S./Canada border has remained open despite measures by both countries to block and limit international flights and mobility in light of the coronavirus pandemic, but that is changing today as the two countries have agreed, “by mutual consent,” to suspen…",http://techcrunch.com/2020/03/18/u-s-and-canada-border-to-close-to-all-but-non-essential-and-travel-says-trump/,https://techcrunch.com/wp-content/uploads/2020/03/GettyImages-594370810.jpg?w=764,2020-03-18T14:10:06Z,The USCanada border has remained open despite measures by both countries to block and limit international flights and mobility in light of the coronavirus pandemic but that is changing today as the two countries have agreed by mutual consent to suspen  chars
6,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Darrell Etherington,Uber suspends Uber Pool shared rides in the U.S. and Canada to help limit coronavirus spread,"Uber has suspended its shared ‘Uber Pool’ class of rides, the company announced on Tuesday. The Uber Pool option would match up to three passengers together in one vehicle based on their destination, and Uber said in a statement from Uber Rides and Platform V…",http://techcrunch.com/2020/03/17/uber-suspends-uber-pool-shared-rides-in-the-u-s-and-canada-to-help-limit-coronavirus-spread/,https://techcrunch.com/wp-content/uploads/2020/03/UberIM_20077-2.jpg?w=600,2020-03-17T11:12:43Z,Uber has suspended its shared Uber Pool class of rides the company announced on Tuesday The Uber Pool option would match up to three passengers together in one vehicle based on their destination and Uber said in a statement from Uber Rides and Platform V  chars
7,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,US-Canada border to close amid virus crisis,Donald Trump and his Canadian counterpart Justin Trudeau are stopping all but essential travel.,https://www.bbc.co.uk/news/world-us-canada-51949243,https://ichef.bbci.co.uk/news/1024/branded_news/7A23/production/_97176213_breaking_news_bigger.png,2020-03-18T13:59:46Z,US President Donald Trump and Canadian Prime Minister Justin Trudeau have agreed to close the USCanada border to all nonessential travel in an attempt to curb the spread of coronavirus We will be by mutual consent temporarily closing our Northern Bord  chars
8,"{'id': 'cnn', 'name': 'CNN'}","By Jen Rose Smith, CNN","With governments limiting non-essential travel, what's essential travel?",Freedom of movement at the world's longest land border diminished on Wednesday when President Donald Trump announced restrictions on travel between the United States and Canada.,https://www.cnn.com/travel/article/essential-travel-coronavirus/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200318101551-01-us-canada-border-file-super-tease.jpg,2020-03-19T18:57:18Z,Jen Rose Smith CNN Updated th March CNN Freedom of movement at the worlds longest land border diminished on Wednesday when President Donald Trump announced restrictions on travel between the United States and Canada We will be by mutual conse  chars
9,"{'id': None, 'name': 'Gizmodo.com'}",Catie Keck,Uber Suspends Pool Service in U.S. and Canada Amid Covid-19 Outbreak,"As health officials call for social distancing amid the global coronavirus pandemic as a means of mitigating its spread, Uber has announced that it’s suspended all Pool services in the United States and Canada as of Tuesday. Read more...",https://gizmodo.com/uber-suspends-pool-service-in-u-s-and-canada-amid-covi-1842377373,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/shse7j6ux0bcezhd1cji.jpg",2020-03-17T15:00:00Z,As health officials call for social distancing amid the global coronavirus pandemic as a means of mitigating its spread Uber has announced that its suspended all Pool services in the United States and Canada as of TuesdayThe company said the decision was   chars
