CUSTOMERNAME,PHONE,CONTACTLASTNAME,CONTACTFIRSTNAME,clientid
Land of Toys Inc.,2125557818,Yu,Kwai,0
Reims Collectables,26.47.1555,Henriot,Paul,1
Lyon Souveniers,+33 1 46 62 7555,Da Cunha,Daniel,2
Toys4GrownUps.com,6265557265,Young,Julie,3
Corporate Gift Ideas Co.,6505551386,Brown,Julie,4
Technics Stores Inc.,6505556809,Hirano,Juri,5
Daedalus Designs Imports,20.16.1555,Rance,Martine,6
Herkku Gifts,+47 2267 3215,Oeztan,Veysel,7
Mini Wheels Co.,6505555787,Murphy,Julie,8
Auto Canal Petit,(1) 47.55.6555,Perrier,Dominique,9
"Australian Collectors, Co.",03 9520 4555,Ferguson,Peter,10
Vitachrome Inc.,2125551500,Frick,Michael,11
Tekni Collectables Inc.,2015559350,Brown,William,12
Gift Depot Inc.,2035552570,King,Julie,13
La Rochelle Gifts,40.67.8555,Labrune,Janine,14
Marta's Replicas Co.,6175558555,Hernandez,Marta,15
"Toys of Finland, Co.",90-224 8555,Karttunen,Matti,16
Baane Mini Imports,07-98 9555,Bergulfsen,Jonas,17
Diecast Classics Inc.,2155551555,Yu,Kyung,18
Salzburg Collectables,6562-9555,Pipps,Georg,20
Souveniers And Things Co.,+61 2 9495 8555,Huxley,Adrian,21
FunGiftIdeas.com,5085552555,Benitez,Violeta,23
"UK Collectables, Ltd.",(171) 555-2282,Devon,Elizabeth,24
Euro Shopping Channel,(91) 555 94 44,Freyre,Diego,25
"Volvo Model Replicas, Co",0921-12 3555,Berglund,Christina,27
"Corrida Auto Replicas, Ltd",(91) 555 22 82,Sommer,Mart¡n,28
"Dragon Souveniers, Ltd.",+65 221 7555,Natividad,Eric,30
Classic Legends Inc.,2125558493,Hernandez,Maria,31
"Australian Gift Network, Co",61-7-3844-6555,Calaghan,Tony,32
"Classic Gift Ideas, Inc",2155554695,Cervantes,Francisca,33
"Saveley & Henriot, Co.",78.32.5555,Saveley,Mary,34
Canadian Gift Exchange Network,(604) 555-3392,Tannamuri,Yoshi,35
West Coast Collectables Co.,3105553722,Thompson,Steve,36
Cambridge Collectables Co.,6175555555,Tseng,Kyung,37
Super Scale Inc.,2035559545,Murphy,Leslie,38
"Tokyo Collectables, Ltd",+81 3 3584 0555,Shimamura,Akiko,39
Amica Models & Co.,011-4988555,Accorti,Paolo,41
Scandinavian Gift Ideas,0695-34 6555,Larsson,Maria,42
Auto Assoc. & Cie.,30.59.8555,Tonini,Daniel,43
Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie,44
Online Diecast Creations Co.,6035558647,Young,Valarie,45
Collectables For Less Inc.,6175558555,Nelson,Allen,49
"Anna's Decorations, Ltd",02 9936 8555,O'Hara,Anna,51
Quebec Home Shopping Network,(514) 555-8054,Fresnisre,Jean,52
Osaka Souveniers Co.,+81 06 6342 5555,Kentary,Mory,63
Motor Mint Distributors Inc.,2155559857,Hernandez,Rosa,65
Atelier graphique,40.32.2555,Schmitt,Carine,70
Mini Classics,9145554562,Frick,Steve,71
Danish Wholesale Imports,31 12 3555,Petersen,Jytte,106
"Stylish Desk Decors, Co.",(171) 555-0297,Brown,Ann,108
Mini Creations Ltd.,5085559555,Tam,Wing C,109
Alpha Cognac,61.77.6555,Roulet,Annette,112
"Double Decker Gift Stores, Ltd",(171) 555-7555,Hardy,Thomas,113
Enaco Distributors,(93) 203 4555,Saavedra,Eduardo,114
"Men 'R' US Retailers, Ltd.",2155554369,Chandler,Michael,115
Collectable Mini Designs Co.,7605558146,Thompson,Valarie,116
Petit Auto,(02) 5554 67,Dewey,Catherine,119
"Royal Canadian Collectables, Ltd.",(604) 555-4555,Lincoln,Elizabeth,120
Gifts4AllAges.com,6175559555,Yoshido,Juri,121
giftsbymail.co.uk,(198) 555-8888,Bennett,Helen,123
"Oulu Toy Supplies, Inc.",981-443655,Koskitalo,Pirkko,128
The Sharp Gifts Warehouse,4085553659,Frick,Sue,131
"La Corne D'abondance, Co.",(1) 42.34.2555,Bertrand,Marie,134
Mini Auto Werke,7675-3555,Mendel,Roland,138
Diecast Collectables,6175552555,Franco,Valarie,142
Handji Gifts& Co,+65 224 1555,Victorino,Wendy,143
Cruz & Sons Co.,+63 2 555 3587,Cruz,Arnold,161
Marseille Mini Autos,91.24.4555,Lebihan,Laurence,162
"Toms Spezialitten, Ltd",0221-5554327,Pfalzheim,Henriette,168
"Vida Sport, Ltd",0897-034555,Holz,Michael,171
L'ordine Souveniers,0522-556555,Moroni,Maurizio,174
Online Mini Collectables,6175557555,Barajas,Miguel,175
"Blauer See Auto, Co.",+49 69 66 90 2555,Keitel,Roland,177
Suominen Souveniers,+358 9 8045 555,Suominen,Kalle,182
Muscle Machine Inc,2125557413,Young,Jeff,188
"Clover Collections, Co.",+353 1862 1555,Cassidy,Dean,196
CAF Imports,+34 913 728 555,Fernandez,Jesus,197
"AV Stores, Co.",(171) 555-1555,Ashworth,Victoria,202
Heintze Collectables,86 21 3555,Ibsen,Palle,203
Microscale Inc.,2125551957,Kuo,Kee,258
Boards & Toys Co.,3105552373,Young,Leslie,313
"Iberia Gift Imports, Corp.",(95) 555 82 82,Roel,Jose Pedro,374
Signal Collectibles Ltd.,4155554312,Taylor,Sue,377
Mini Caravy,88.60.1555,Citeaux,Frederique,418
Signal Gift Stores,7025551838,King,Sue,462
"Norway Gifts By Mail, Co.",+47 2212 1555,Klaeboe,Jan,464
Rovelli Gifts,035-640555,Rovelli,Giovanni,481
"Australian Collectables, Ltd",61-9-3844-6555,Connery,Sean,483
Gift Ideas Corp.,2035554407,Lewis,Dan,554
"Bavarian Collectables Imports, Co.",+49 89 61 08 9555,Donnermeyer,Michael,567
Royale Belge,(071) 23 67 2555,Cartrain,Pascale,571
Auto-Moto Classics Inc.,6175558428,Taylor,Leslie,937
