ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,addressid
897 Long Airport Avenue,,NYC,NY,10022,USA,,0
59 rue de l'Abbaye,,Reims,,51100,France,EMEA,1
27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,2
78934 Hillside Dr.,,Pasadena,CA,90003,USA,,3
7734 Strong St.,,San Francisco,CA,,USA,,4
9408 Furth Circle,,Burlingame,CA,94217,USA,,5
"184, chausse de Tournai",,Lille,,59000,France,EMEA,6
"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,7
5557 North Pendale Street,,San Francisco,CA,,USA,,8
"25, rue Lauriston",,Paris,,75016,France,EMEA,9
636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,10
2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,11
7476 Moss Rd.,,Newark,NJ,94019,USA,,12
25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,13
"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,14
39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,15
Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,16
Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,17
7586 Pompton St.,,Allentown,PA,70267,USA,,18
Geislweg 14,,Salzburg,,5020,Austria,EMEA,20
"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,21
1785 First Street,,New Bedford,MA,50553,USA,,23
Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,24
"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,25
Berguvsv„gen  8,,Lule,,S-958 22,Sweden,EMEA,27
"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,28
"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,30
5905 Pompton St.,Suite 750,NYC,NY,10022,USA,,31
31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,32
782 First Street,,Philadelphia,PA,71270,USA,,33
"2, rue du Commerce",,Lyon,,69004,France,EMEA,34
1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,,35
3675 Furth Circle,,Burbank,CA,94019,USA,,36
4658 Baden Av.,,Cambridge,MA,51247,USA,,37
567 North Pendale Street,,New Haven,CT,97823,USA,,38
2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,39
Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,41
?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,42
"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,43
5677 Strong St.,,San Rafael,CA,97562,USA,,44
2304 Long Airport Avenue,,Nashua,NH,62005,USA,,45
7825 Douglas Av.,,Brickhaven,MA,58339,USA,,49
201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,51
43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,,52
"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,63
11328 Douglas Av.,,Philadelphia,PA,71270,USA,,65
"54, rue Royale",,Nantes,,44000,France,EMEA,70
3758 North Pendale Street,,White Plains,NY,24067,USA,,71
Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,106
35 King George,,London,,WX3 6FW,UK,EMEA,108
4575 Hillside Dr.,,New Bedford,MA,50553,USA,,109
1 rue Alsace-Lorraine,,Toulouse,,31000,France,EMEA,112
120 Hanover Sq.,,London,,WA1 1DP,UK,EMEA,113
"Rambla de Catalu¤a, 23",,Barcelona,,8022,Spain,EMEA,114
6047 Douglas Av.,,Los Angeles,CA,,USA,,115
361 Furth Circle,,San Diego,CA,91217,USA,,116
Rue Joseph-Bens 532,,Bruxelles,,B-1180,Belgium,EMEA,119
23 Tsawassen Blvd.,,Tsawassen,BC,T2F 8M4,Canada,,120
8616 Spinnaker Dr.,,Boston,MA,51003,USA,,121
Garden House Crowther Way,,Cowes,Isle of Wight,PO31 7PJ,UK,EMEA,123
Torikatu 38,,Oulu,,90110,Finland,EMEA,128
3086 Ingle Ln.,,San Jose,CA,94217,USA,,131
"265, boulevard Charonne",,Paris,,75012,France,EMEA,134
Kirchgasse 6,,Graz,,8010,Austria,EMEA,138
6251 Ingle Ln.,,Boston,MA,51003,USA,,142
Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore,APAC,143
15 McCallum Street - NatWest Center #13-03,,Makati City,,1227 MM,Philippines,Japan,161
"12, rue des Bouchers",,Marseille,,13008,France,EMEA,162
Mehrheimerstr. 369,,Koln,,50739,Germany,EMEA,168
Grenzacherweg 237,,Gensve,,1203,Switzerland,EMEA,171
Strada Provinciale 124,,Reggio Emilia,,42100,Italy,EMEA,174
7635 Spinnaker Dr.,,Brickhaven,MA,58339,USA,,175
Lyonerstr. 34,,Frankfurt,,60528,Germany,EMEA,177
"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland,EMEA,182
4092 Furth Circle,Suite 400,NYC,NY,10022,USA,,188
25 Maiden Lane,Floor No. 4,Dublin,,2,Ireland,EMEA,196
"Merchants House, 27-30 Merchant's Quay",,Madrid,,28023,Spain,EMEA,197
Fauntleroy Circus,,Manchester,,EC2 5NT,UK,EMEA,202
Smagsloget 45,,Aaarhus,,8200,Denmark,EMEA,203
5290 North Pendale Street,Suite 200,NYC,NY,10022,USA,,258
4097 Douglas Av.,,Glendale,CA,92561,USA,,313
"C/ Romero, 33",,Sevilla,,41101,Spain,EMEA,374
2793 Furth Circle,,Brisbane,CA,94217,USA,,377
"24, place Kluber",,Strasbourg,,67000,France,EMEA,418
8489 Strong St.,,Las Vegas,NV,83030,USA,,462
"Drammensveien 126 A, PB 744 Sentrum",,Oslo,,N 0106,Norway,EMEA,464
Via Ludovico il Moro 22,,Bergamo,,24100,Italy,EMEA,481
7 Allen Street,,Glen Waverly,Victoria,3150,Australia,APAC,483
2440 Pompton St.,,Glendale,CT,97561,USA,,554
Hansastr. 15,,Munich,,80686,Germany,EMEA,567
"Boulevard Tirou, 255",,Charleroi,,B-6000,Belgium,EMEA,571
16780 Pompton St.,,Brickhaven,MA,58339,USA,,937
