factid,timeid,clientid,addressid,productid,orderid,orderlineid,SALES,DEALSIZE
0,0,0,0,0,0,0,2871,Small
1,1,1,1,0,1,1,2765.9,Small
2,2,2,2,0,2,2,3884.34,Medium
3,3,3,3,0,3,3,3746.7,Medium
4,4,4,4,0,4,4,5205.27,Medium
5,5,5,5,0,5,5,3479.76,Medium
6,6,6,6,0,6,6,2497.77,Small
7,7,7,7,0,7,7,5512.32,Medium
8,8,8,8,0,8,8,2168.54,Small
9,9,9,9,0,9,9,4708.44,Medium
10,10,10,10,0,10,10,3965.66,Medium
11,11,11,11,0,11,11,2333.12,Small
12,12,12,12,0,12,12,3188.64,Medium
13,13,13,13,0,13,13,3676.76,Medium
14,14,14,14,0,14,14,4177.35,Medium
15,15,15,15,0,15,15,4099.68,Medium
16,16,16,16,0,16,16,2597.39,Small
17,17,17,17,0,17,17,4394.38,Medium
18,18,18,18,0,18,18,4358.04,Medium
19,19,0,19,0,19,19,4396.14,Medium
20,20,20,20,0,20,20,7737.93,Large
21,21,21,21,0,21,21,1451,Small
22,22,14,22,0,22,22,733.11,Small
23,23,23,23,0,23,23,3207.12,Medium
24,24,24,24,0,24,24,2434.56,Small
25,25,25,25,0,25,25,7516.08,Large
26,26,17,26,26,26,26,5404.62,Medium
27,27,27,27,26,27,27,7209.11,Large
28,28,28,28,26,28,28,7329.06,Large
29,29,5,29,26,29,29,7374.1,Large
30,30,30,30,26,30,30,10993.5,Large
31,31,31,31,26,31,31,4860.24,Medium
32,32,32,32,26,32,32,8014.82,Large
33,33,33,33,26,33,33,5372.57,Medium
34,34,34,34,26,34,34,7290.36,Large
35,35,35,35,26,35,35,9064.89,Large
36,36,36,36,26,36,36,6075.3,Medium
37,37,37,37,26,37,37,6463.23,Medium
38,38,38,38,26,38,38,6120.34,Medium
39,39,39,39,26,39,39,7680.64,Large
40,40,21,21,26,40,40,4905.39,Medium
41,41,41,41,26,41,13,8014.82,Large
42,42,42,42,26,42,29,7136.19,Large
43,43,43,43,26,43,35,10172.7,Large
44,44,44,44,26,44,44,11623.7,Large
45,45,45,45,26,45,45,6000.4,Medium
46,46,8,46,26,46,46,3003,Medium
47,47,10,10,26,47,47,3944.7,Medium
48,48,44,48,26,48,48,5691.84,Medium
49,49,49,49,26,49,49,4514.92,Medium
50,50,4,50,26,50,50,8254.8,Large
51,51,51,51,26,51,51,2416.56,Small
52,52,52,52,26,52,16,4140.23,Medium
53,53,25,53,26,53,53,12001,Large
54,0,0,54,54,0,54,3896.49,Medium
55,55,10,10,54,55,55,2793.86,Small
56,2,2,56,54,2,56,3307.77,Medium
57,3,3,57,54,3,57,5192.95,Medium
58,4,4,58,54,4,58,5016.83,Medium
59,5,5,59,54,5,59,3660.93,Medium
60,6,6,60,54,6,60,4695.6,Medium
61,7,7,61,54,7,61,3660.92,Medium
62,8,8,62,54,8,62,3025.92,Medium
63,63,63,63,54,63,63,3009.09,Medium
64,10,10,10,54,10,64,5422.39,Medium
65,65,65,65,54,65,65,2852.08,Small
66,12,12,66,54,12,66,5756.52,Medium
67,13,13,67,54,13,67,4472,Medium
68,14,14,68,54,14,68,2904.44,Small
69,15,15,69,54,15,69,6484.59,Medium
70,70,70,70,54,70,70,3757.26,Medium
71,17,71,71,54,71,13,4043.96,Medium
72,18,18,72,54,18,72,5566.5,Medium
73,19,0,73,54,19,73,3176,Medium
74,74,39,74,54,74,74,2756.8,Small
75,21,21,21,54,21,75,1329.9,Small
76,76,32,76,54,76,76,5288.01,Medium
77,23,23,77,54,23,77,2225.5,Small
78,78,9,78,54,78,78,5833.8,Medium
79,25,25,79,54,25,79,5887.35,Medium
80,0,0,80,80,0,59,6065.55,Medium
81,55,10,10,80,55,81,9264.86,Large
82,2,2,82,80,2,82,7023.98,Large
83,3,3,83,80,3,83,5176.38,Medium
84,4,4,84,80,4,84,4132.7,Medium
85,5,5,85,80,5,85,4183,Medium
86,6,6,86,80,6,86,8892.9,Large
87,7,7,87,80,7,87,8714.7,Large
88,8,8,88,80,8,88,8065.89,Large
89,63,63,89,80,63,89,6123.4,Medium
90,10,10,10,80,10,90,9774.03,Large
91,11,11,91,80,11,91,7023.9,Large
92,12,12,92,80,12,92,7078.23,Large
93,13,13,93,80,13,93,8336.94,Large
94,14,14,94,80,14,50,6901.92,Medium
95,15,15,95,80,15,95,5438.07,Medium
96,16,16,96,80,16,96,6683.34,Medium
97,17,71,97,80,71,97,4570.4,Medium
98,18,18,98,80,18,98,7667.14,Large
99,19,0,99,80,19,46,5868.2,Medium
100,74,39,100,80,74,100,2990.13,Small
101,101,5,101,80,101,68,3664.1,Medium
102,76,32,102,80,76,65,3834.38,Medium
103,23,23,103,80,23,103,1822.17,Small
104,24,24,104,80,24,104,11886.6,Large
105,25,25,105,80,25,105,9218.16,Large
106,106,106,106,106,106,106,7208,Large
107,107,20,107,106,107,107,5004.8,Medium
108,108,108,108,106,108,108,4398.24,Medium
109,109,109,109,106,109,109,5597.76,Medium
110,110,16,110,106,110,110,4526.08,Medium
111,111,42,111,106,111,111,5924.16,Medium
112,112,112,112,106,112,112,3492.48,Medium
113,113,113,113,106,113,113,3854.24,Medium
114,114,114,114,106,114,114,5324.4,Medium
115,115,115,115,106,115,115,5197.92,Medium
116,116,116,116,106,116,116,5997.6,Medium
117,117,0,117,106,117,85,2910.4,Small
118,118,52,118,106,118,118,3378.24,Medium
119,119,119,119,106,119,119,3508.8,Medium
120,120,120,120,106,120,120,2992,Small
121,121,121,121,106,121,121,3427.2,Medium
122,122,33,122,106,122,122,2692.8,Small
123,123,123,123,106,123,123,4128.96,Medium
124,124,17,124,106,124,124,3051.71,Medium
125,125,31,125,106,125,125,1201.25,Small
126,126,25,126,106,126,126,1962.22,Small
127,127,1,127,106,127,127,2624.64,Small
128,128,128,128,106,128,128,4046.25,Medium
129,129,4,129,106,129,32,4846.7,Medium
130,130,2,130,106,130,130,3370.56,Medium
131,131,131,131,106,131,131,9661.44,Large
132,132,121,132,106,132,132,2764.88,Small
133,26,17,133,133,26,133,5398.26,Medium
134,134,134,134,133,134,134,4305.28,Medium
135,28,28,135,133,28,68,3347.74,Medium
136,29,5,136,133,29,136,3188.12,Medium
137,30,30,137,133,30,97,3191.2,Medium
138,138,138,138,133,138,138,3536.82,Medium
139,32,108,139,133,139,139,5362.83,Medium
140,33,33,140,133,33,140,3433.36,Medium
141,34,34,141,133,34,136,4263.74,Medium
142,142,142,142,133,142,142,4076.19,Medium
143,143,143,143,133,143,143,7020.48,Large
144,144,44,144,133,144,144,6426.5,Medium
145,38,38,145,133,38,12,4591.72,Medium
146,39,143,146,133,146,146,4033.38,Medium
147,40,21,21,133,40,130,4302.08,Medium
148,148,18,148,133,148,111,7020.64,Large
149,42,42,149,133,42,119,3855.9,Medium
150,150,15,150,133,150,150,6680.78,Medium
151,151,35,151,133,151,151,6678,Medium
152,45,45,152,133,45,152,2851.54,Small
153,153,27,153,133,153,153,3188.12,Medium
154,47,10,10,133,47,154,4428,Medium
155,48,44,155,133,48,155,5780.92,Medium
156,49,51,51,133,156,156,2297.05,Small
157,50,4,157,133,50,157,6231.54,Medium
158,51,51,51,133,51,158,1735.3,Small
159,52,52,159,133,52,154,4427.73,Medium
160,53,14,160,133,160,160,5894.94,Medium
