DATE_ID,QTR_ID,MONTH_ID,YEAR_ID,timeid
24,1,2,2003,0
7,2,5,2003,1
1,3,7,2003,2
25,3,8,2003,3
10,4,10,2003,4
28,4,10,2003,5
11,4,11,2003,6
18,4,11,2003,7
1,4,12,2003,8
15,1,1,2004,9
20,1,2,2004,10
5,2,4,2004,11
18,2,5,2004,12
28,2,6,2004,13
23,3,7,2004,14
27,3,8,2004,15
30,3,9,2004,16
15,4,10,2004,17
2,4,11,2004,18
15,4,11,2004,19
24,4,11,2004,20
17,4,12,2004,21
3,1,2,2005,22
3,1,3,2005,23
8,2,4,2005,24
13,2,5,2005,25
29,1,1,2003,26
24,1,3,2003,27
28,2,5,2003,28
24,3,7,2003,29
19,3,9,2003,30
20,4,10,2003,31
6,4,11,2003,32
13,4,11,2003,33
25,4,11,2003,34
5,4,12,2003,35
29,1,1,2004,36
10,1,3,2004,37
4,2,5,2004,38
15,2,6,2004,39
19,3,7,2004,40
17,3,8,2004,41
8,3,9,2004,42
11,4,10,2004,43
21,4,10,2004,44
4,4,11,2004,45
18,4,11,2004,46
29,4,11,2004,47
10,4,12,2004,48
20,1,1,2005,49
17,1,2,2005,50
9,1,3,2005,51
1,2,5,2005,52
31,2,5,2005,53
29,2,4,2003,55
12,1,1,2004,63
3,2,4,2004,65
27,3,9,2004,70
23,4,11,2004,74
2,1,2,2005,76
7,2,4,2005,78
5,1,1,2005,101
11,1,2,2003,106
28,2,4,2003,107
12,2,6,2003,108
10,3,8,2003,109
6,4,10,2003,110
23,4,10,2003,111
8,4,11,2003,112
14,4,11,2003,113
26,4,11,2003,114
9,1,1,2004,115
19,1,2,2004,116
7,2,5,2004,117
17,2,6,2004,118
21,3,7,2004,119
20,3,8,2004,120
10,3,9,2004,121
14,4,10,2004,122
1,4,11,2004,123
5,4,11,2004,124
21,4,11,2004,125
2,4,12,2004,126
15,4,12,2004,127
31,1,1,2005,128
23,1,2,2005,129
17,1,3,2005,130
1,2,4,2005,131
6,2,5,2005,132
1,2,4,2003,134
21,4,10,2003,138
9,4,12,2003,142
4,1,2,2004,143
11,1,3,2004,144
19,3,8,2004,148
13,4,10,2004,150
22,4,10,2004,151
19,4,11,2004,153
3,1,3,2003,161
8,2,5,2003,162
2,3,7,2003,163
5,3,9,2003,164
4,4,11,2003,166
12,4,11,2003,167
20,4,11,2003,168
2,4,12,2003,169
22,1,2,2004,171
9,2,4,2004,172
1,2,6,2004,173
6,3,7,2004,174
2,3,8,2004,175
30,3,8,2004,176
4,4,10,2003,177
16,4,10,2004,178
3,4,11,2004,179
6,1,1,2005,182
17,2,5,2005,185
16,2,4,2003,187
3,2,6,2003,188
8,3,8,2003,189
28,3,9,2003,190
22,4,10,2003,191
2,1,1,2004,195
12,1,2,2004,196
19,1,3,2004,197
