timeid,DATE_ID,QTR_ID,MONTH_ID,YEAR_ID
0,24,1,2,2003
1,7,2,5,2003
2,1,3,7,2003
3,25,3,8,2003
4,10,4,10,2003
5,28,4,10,2003
6,11,4,11,2003
7,18,4,11,2003
8,1,4,12,2003
9,15,1,1,2004
10,20,1,2,2004
11,5,2,4,2004
12,18,2,5,2004
13,28,2,6,2004
14,23,3,7,2004
15,27,3,8,2004
16,30,3,9,2004
17,15,4,10,2004
18,2,4,11,2004
19,15,4,11,2004
20,24,4,11,2004
21,17,4,12,2004
22,3,1,2,2005
23,3,1,3,2005
24,8,2,4,2005
25,13,2,5,2005
26,29,1,1,2003
27,24,1,3,2003
28,28,2,5,2003
29,24,3,7,2003
30,19,3,9,2003
31,20,4,10,2003
32,6,4,11,2003
33,13,4,11,2003
34,25,4,11,2003
35,5,4,12,2003
36,29,1,1,2004
37,10,1,3,2004
38,4,2,5,2004
39,15,2,6,2004
40,19,3,7,2004
41,17,3,8,2004
42,8,3,9,2004
43,11,4,10,2004
44,21,4,10,2004
45,4,4,11,2004
46,18,4,11,2004
47,29,4,11,2004
48,10,4,12,2004
49,20,1,1,2005
50,17,1,2,2005
51,9,1,3,2005
52,1,2,5,2005
53,31,2,5,2005
0,24,1,2,2003
55,29,2,4,2003
2,1,3,7,2003
3,25,3,8,2003
4,10,4,10,2003
5,28,4,10,2003
6,11,4,11,2003
7,18,4,11,2003
8,1,4,12,2003
63,12,1,1,2004
10,20,1,2,2004
65,3,2,4,2004
12,18,2,5,2004
13,28,2,6,2004
14,23,3,7,2004
15,27,3,8,2004
70,27,3,9,2004
17,15,4,10,2004
18,2,4,11,2004
19,15,4,11,2004
74,23,4,11,2004
21,17,4,12,2004
76,2,1,2,2005
23,3,1,3,2005
78,7,2,4,2005
25,13,2,5,2005
0,24,1,2,2003
55,29,2,4,2003
2,1,3,7,2003
3,25,3,8,2003
4,10,4,10,2003
5,28,4,10,2003
6,11,4,11,2003
7,18,4,11,2003
8,1,4,12,2003
63,12,1,1,2004
10,20,1,2,2004
11,5,2,4,2004
12,18,2,5,2004
13,28,2,6,2004
14,23,3,7,2004
15,27,3,8,2004
16,30,3,9,2004
17,15,4,10,2004
18,2,4,11,2004
19,15,4,11,2004
